p_1 | ... | p_N | ID | Cost | in Simplex numb. | Operation
0.9858	-0.9639	86.0000	0.0163	23.0000	1.0000	
1.0577	-0.9544	87.0000	Inf	1.0000	2.0000	
0.9446	-0.9868	88.0000	0.0266	24.0000	-1.0000	
0.9446	-0.9868	89.0000	0.0258	24.0000	-2.0000	
1.0470	-0.9906	90.0000	Inf	24.0000	1.0000	
0.9243	-0.9678	91.0000	0.0337	1.0000	32.0000	
1.0061	-0.9830	92.0000	Inf	25.0000	1.0000	
0.9448	-0.9716	93.0000	0.0356	2.0000	32.0000	
0.9652	-0.9754	94.0000	0.0186	2.0000	4.0000	
0.9551	-0.9659	95.0000	0.0264	2.0000	4.0000	
0.9858	-0.9639	96.0000	0.0294	26.0000	-1.0000	
0.9858	-0.9639	97.0000	0.0229	26.0000	-2.0000	
0.9960	-0.9735	98.0000	0.0199	26.0000	1.0000	
0.9753	-0.9849	99.0000	0.0276	27.0000	1.0000	
0.9832	-0.9692	100.0000	0.0314	1.0000	32.0000	
0.9806	-0.9744	101.0000	0.0280	1.0000	4.0000	
0.9755	-0.9697	102.0000	0.0173	1.0000	4.0000	
0.9652	-0.9754	103.0000	0.0272	28.0000	-1.0000	
0.9652	-0.9754	104.0000	0.0229	28.0000	-2.0000	
0.9602	-0.9706	105.0000	0.0268	28.0000	1.0000	
0.9653	-0.9716	106.0000	0.0239	1.0000	31.0000	
0.9755	-0.9735	107.0000	0.0276	29.0000	1.0000	
0.9678	-0.9721	108.0000	0.0316	2.0000	32.0000	
0.9704	-0.9725	109.0000	0.0279	2.0000	4.0000	
0.9704	-0.9706	110.0000	0.0175	2.0000	4.0000	
0.9755	-0.9697	111.0000	0.0278	30.0000	-1.0000	
0.9755	-0.9697	112.0000	0.0225	30.0000	-2.0000	
0.9756	-0.9678	113.0000	0.0153	30.0000	1.0000	
0.9781	-0.9654	114.0000	0.0180	1.0000	2.0000	
0.9704	-0.9687	115.0000	0.0337	31.0000	1.0000	
0.9743	-0.9694	116.0000	0.0222	2.0000	32.0000	
0.9704	-0.9706	117.0000	0.0177	32.0000	-1.0000	
0.9704	-0.9706	118.0000	0.0176	32.0000	-2.0000	
0.9717	-0.9690	119.0000	0.0285	32.0000	1.0000	
