10.0000	10.0000	10.0000	11.0000	1.4336	5.0000	
10.0000	10.0000	10.0000	11.0000	1.4336	13.0000	
10.0000	10.0000	10.0000	11.0000	1.4336	14.0000	
9.8750	9.6250	9.2500	11.1250	1.1635	9.0000	
9.8750	9.6250	9.2500	11.1250	1.1635	20.0000	
9.8750	9.6250	9.2500	11.1250	1.1635	21.0000	
8.6406	10.0469	9.3438	11.3594	1.1125	15.0000	
8.6406	10.0469	9.3438	11.3594	1.1125	26.0000	
8.6406	10.0469	9.3438	11.3594	1.1125	27.0000	
9.2383	9.1211	9.8047	10.7617	1.1007	18.0000	
9.2383	9.1211	9.8047	10.7617	1.1007	32.0000	
9.2383	9.1211	9.8047	10.7617	1.1007	33.0000	
9.1819	9.2195	9.5210	11.5681	1.0881	24.0000	
9.1819	9.2195	9.5210	11.5681	1.0881	38.0000	
9.1819	9.2195	9.5210	11.5681	1.0881	39.0000	
8.8467	9.6376	9.4075	11.3323	1.0603	35.0000	
8.8467	9.6376	9.4075	11.3323	1.0603	45.0000	
8.8467	9.6376	9.4075	11.3323	1.0603	46.0000	
9.0965	9.2393	9.5883	11.1048	1.0602	37.0000	
9.0965	9.2393	9.5883	11.1048	1.0602	49.0000	
9.0965	9.2393	9.5883	11.1048	1.0602	50.0000	
